id,title,alternative_title,description,tasks,soft_skill,hard_skill,job_zone,majors,typical_industries,in_demand,hazard,physical_activity,decision_making,time_pressure
"11","Advertising Sales Agents","Advertising Account Representative
Sales Representative","Sell or solicit advertising space, time, or media in publications, signage, TV, radio, or Internet establishments or public spaces.","Prepare and deliver sales presentations to new and existing customers to sell new advertising programs and to protect and increase existing advertising.
Provide clients with estimates of the costs of advertising products or services.
Locate and contact potential clients to offer advertising services.
Explain to customers how specific types of advertising will help promote their products or services in the most effective way possible.","Social Perceptiveness
Service Orientation
Persuasion
Speaking","Microsoft Office software
Microsoft Excel
Microsoft Powerpoint","","Marketing
Business Administration","","No","Low","Moderate","High","High"
"12","Aerospace Engineers","Aeronautical Engineer
Avionics Engineer","Perform engineering duties in designing, constructing, and testing aircraft, missiles, and spacecraft. May conduct basic and applied research to evaluate adaptability of materials and equipment to aircraft design and manufacture. May recommend improvements in testing equipment and techniques.","Design, develop, test, and help manufacture commercial and military aircraft, missiles, and so on.
Develop and design extraordinary technologies such as supersonic jets, helicopters, space shuttles, satellites, and rockets.
Improve flight safety, fuel efficiency, speed, and weight.
Use advancing technologies to meet client and customer needs
Research and develop design specifications
Address the environmental impact of air travel and the materials/systems, you will be designing.
Resolve any issues that arise during the design, development, and testing process, including investigating any aircraft accidents","Active Listening
Writing
Speaking
Mathematics
Complex Problem Solving
Operations Analysis
Reading Comprehension
Science
Critical Thinking","The MathWorks MATLAB
Python
Microsoft Office software
Microsoft Excel
C++
Microsoft PowerPoint
Dassault Systemes CATIA
Dassault Systemes SolidWorks
C
Linux
MathWorks Simulink
MAYA Nastran","","Aerospace Engineering
Mechanical Engineering","","No","Moderate","Low","Low","Low"
"13","Agents and Business Managers of Artists, Performers, and Athletes","Agent
Booking Agent
Talent Agent","Represent and promote artists, performers, and athletes in dealings with current or prospective employers. May handle contract negotiation and other business matters for clients.","Conduct auditions or interviews to evaluate potential clients.
Send samples of clients' work and other promotional material to potential employers to obtain auditions, sponsorships, or endorsement deals.
Schedule promotional or performance engagements for clients.
Manage business and financial affairs for clients, such as arranging travel and lodging, selling tickets, and directing marketing and advertising activities.
Hire trainers or coaches to advise clients on performance matters, such as training techniques or performance presentations.
Negotiate with managers, promoters, union officials, and other persons regarding clients' contractual rights and obligations.
Collect fees, commissions, or other payments, according to contract terms.","Social Perceptiveness
Reading Comprehension
Active Listening
Speaking
Persuasion
Negotiation","Microsoft Office software
Microsoft Excel","","Business
Visual & Performing Arts
Communications","Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures  24%
Performing Arts Companies 10%
Motion Picture and Video Industries 7%
Promoters of Performing Arts, Sports, and Similar Events        ","Yes","Low","Low","High","High"
"14","Agricultural Engineers","Conservation Engineer","Apply knowledge of engineering technology and biological science to agricultural problems concerned with power and machinery, electrification, structures, soil and water conservation, and processing of agricultural products.","Provide advice on water quality and issues related to pollution management, river control, and ground and surface water resources.
Plan and direct construction of rural electric-power distribution systems, and irrigation, drainage, and flood control systems for soil and water conservation.
Design agricultural machinery components and equipment, using computer-aided design (CAD) technology.
Test and install new equipment, like harvesters, crop sprayers and logging machinery
Solve engineering problems, like designing all-terrain vehicles to move over uneven ground in different weather conditions","Writing
Speaking
Mathematics
Systems Analysis
Systems Evaluation
Reading Comprehension
Active Listening
Complex Problem Solving
Judgment and Decision Making
Critical Thinking","Oracle Database
Dassault Systemes SolidWorks
Adobe Systems Adobe InDesign
Microsoft Project
SAS
Adobe Systems Adobe Photoshop
Autodesk AutoCAD
Microsoft SharePoint
Microsoft Access
SAP software
Oracle Java
Microsoft Word
Microsoft Outlook
Microsoft PowerPoint
Microsoft Office software
Microsoft Excel","","","","No","Moderate","Low","Moderate","Low"
"15","Agricultural Equipment Operators","Cutter Operator","","Operate or tend equipment used in agricultural production, such as tractors, combines, and irrigation equipment.
Position boxes or attach bags at discharge ends of machinery to catch products, removing and closing full containers.
Load and unload crops or containers of materials, manually or using conveyors, handtrucks, forklifts, or transfer augers.
Mix specified materials or chemicals, and dump solutions, powders, or seeds into planter or sprayer machinery.
Walk beside or ride on planting machines while inserting plants in planter mechanisms at specified intervals.
Spray fertilizer or pesticide solutions to control insects, fungus and weed growth, and diseases, using hand sprayers.
Observe and listen to machinery operation to detect equipment malfunctions.
Adjust, repair, and service farm machinery and notify supervisors when machinery malfunctions.
Attach farm implements such as plows, discs, sprayers, or harvesters to tractors, using bolts and hand tools.
Direct and monitor the activities of work crews engaged in planting, weeding, or harvesting activities.","Operation and Control","","","","","","High","Moderate","Low","Low"
"16","Agricultural Inspectors","Brand Inspector
Consumer Safety Inspector ","","Inspect food products and processing procedures to determine whether products are safe to eat.
Collect samples from animals, plants, or products and route them to laboratories for microbiological assessment, ingredient verification, or other testing.
Interpret and enforce government acts and regulations and explain required standards to agricultural workers.
Set standards for the production of meat or poultry products or for food ingredients, additives, or compounds used to prepare or package products.
Label and seal graded products and issue official grading certificates.
Monitor the operations and sanitary conditions of slaughtering or meat processing plants.
Inspect the cleanliness and practices of establishment employees.
Take emergency actions, such as closing production facilities, if product safety is compromised.
Verify that transportation and handling procedures meet regulatory requirements.
Write reports of findings and recommendations and advise farmers, growers, or processors of corrective action to be taken.","Quality Control Analysis","","","","","","High","Moderate","Moderate","Moderate"
"17","Agricultural Sciences Teachers, Postsecondary","Agriculture Instructor","","Prepare and deliver lectures to undergraduate or graduate students on topics such as crop production, plant genetics, and soil chemistry.
Initiate, facilitate, and moderate classroom discussions.
Prepare course materials, such as syllabi, homework assignments, and handouts.
Evaluate and grade students' class work, laboratory work, assignments, and papers.
Maintain regularly scheduled office hours to advise and assist students.
Advise students on academic and vocational curricula and on career issues.
Supervise undergraduate or graduate teaching, internship, and research work.
Conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media.
Write grant proposals to procure external research funding.","Monitoring
Active Listening
Writing
Critical Thinking
Active Learning
Reading Comprehension
Speaking
Learning Strategies
Instructing","","","","","","Moderate","Low","Moderte","Low"
"18","Agricultural Technicians","Agricultural Research Technician","","Prepare laboratory samples for analysis, following proper protocols to ensure that they will be stored, prepared, and disposed of efficiently and effectively.
Examine animals or crop specimens to determine the presence of diseases or other problems.
Record environmental data from field samples of soil, air, water, or pests to monitor the effectiveness of integrated pest management (IPM) practices.
Conduct studies of nitrogen or alternative fertilizer application methods, quantities, or timing to ensure satisfaction of crop needs and minimization of leaching, runoff, or denitrification.
Prepare data summaries, reports, or analyses that include results, charts, or graphs to document research findings and results.
Supervise or train agricultural technicians or farm laborers.
Supervise pest or weed control operations, including locating and identifying pests or weeds, selecting chemicals and application methods, or scheduling application.
Maintain or repair agricultural facilities, equipment, or tools to ensure operational readiness, safety, and cleanliness.
Operate farm machinery, including tractors, plows, mowers, combines, balers, sprayers, earthmoving equipment, or trucks.
Perform general nursery duties, such as propagating standard varieties of plant materials, collecting and germinating seeds, maintaining cuttings of plants, or controlling environmental conditions.","","","","","","","Moderate","Low","Moderate","Low"
"19","Air Traffic Controllers","Air Traffic Control Specialist","","Monitor aircraft within a specific airspace, using radar, computer equipment, or visual references.
Organize flight plans or traffic management plans to prepare for planes about to enter assigned airspace.
Inform pilots about nearby planes or potentially hazardous conditions, such as weather, speed and direction of wind, or visibility problems.
Provide flight path changes or directions to emergency landing fields for pilots traveling in bad weather or in emergency situations.
Direct pilots to runways when space is available or direct them to maintain a traffic pattern until there is space for them to land.
Direct ground traffic, including taxiing aircraft, maintenance or baggage vehicles, or airport workers.
Initiate or coordinate searches for missing aircraft.
Inspect, adjust, or control radio equipment or airport lights.
Complete daily activity reports and keep records of messages from aircraft.","Coordination
Monitoring
Complex Problem Solving
Critical Thinking
Judgment and Decision Making
Speaking
Active Listening","","","","","","Low","Low","High","Low"
"20","Aircraft Cargo Handling Supervisors","","","Determine the quantity and orientation of cargo, and compute an aircraft's center of gravity.
Calculate load weights for different aircraft compartments, using charts and computers.
Distribute cargo to maximize use of space.
Direct ground crews in the loading, unloading, securing, or staging of aircraft cargo or baggage.
Accompany aircraft as a member of the flight crew to monitor and handle cargo in flight.
Train new employees in areas such as safety procedures or equipment operation.","","","","","","","High","High","High","High"
"21","Aircraft Mechanics and Service Technicians","","","Examine and inspect aircraft components, including landing gear, hydraulic systems, and deicers to locate cracks, breaks, leaks, or other problems.
Obtain fuel and oil samples and check them for contamination.
Maintain, repair, and rebuild aircraft structures, functional components, and parts, such as wings and fuselage, rigging, hydraulic units, oxygen systems, fuel systems, electrical systems, gaskets, or seals.
Modify aircraft structures, space vehicles, systems, or components, following drawings, schematics, charts, engineering orders, and technical publications.
Read and interpret pilots' descriptions of problems to diagnose causes.
Test operation of engines and other systems, using test equipment, such as ignition analyzers, compression checkers, distributor timers, or ammeters.
Remove or install aircraft engines, using hoists or forklift trucks.
Assemble and install electrical, plumbing, mechanical, hydraulic, and structural components and accessories, using hand or power tools.
Check for corrosion, distortion, and invisible cracks in the fuselage, wings, and tail, using x-ray and magnetic inspection equipment.
Prepare and paint aircraft surfaces.","Critical Thinking
Complex Problem Solving
Quality Control Analysis
Operations Monitoring
Troubleshooting
Equipment Maintenance
Repairing","","","","","","High","Moderate","High","High"
"22","Aircraft Structure, Surfaces, Rigging, and Systems Assemblers","","","Assemble parts, fittings, or subassemblies on aircraft, using layout tools, hand tools, power tools, or fasteners, such as bolts, screws, rivets, or clamps.
Read blueprints, illustrations, or specifications to determine layouts, sequences of operations, or identities or relationships of parts.
Inspect or test installed units, parts, systems, or assemblies for fit, alignment, performance, defects, or compliance with standards, using measuring instruments or test equipment.
Adjust, repair, rework, or replace parts or assemblies to ensure proper operation.
Set, align, adjust, or synchronize aircraft armament or rigging or control system components to established tolerances or requirements, using sighting devices and hand tools.
Assemble prototypes or integrated-technology demonstrators of new or emerging environmental technologies for aircraft.
Clean aircraft structures, parts, or components, using aqueous, semi-aqueous, aliphatic hydrocarbon, or organic solvent cleaning products or techniques to reduce carbon or other harmful emissions.
Place and connect control cables to electronically controlled units, using hand tools, ring locks, cotter keys, threaded connectors, turnbuckles, or related devices.
Install mechanical linkages and actuators, using tensiometers to verify tension of cables.
Clean aircraft structures, parts, or components, using aqueous, semi-aqueous, aliphatic hydrocarbon, or organic solvent cleaning products or techniques to reduce carbon or other harmful emissions.","","","","","","","High","Moderate","Low","Low"
"23","Airfield Operations Specialists","","","Implement airfield safety procedures to ensure a safe operating environment for personnel and aircraft operation.
Plan and coordinate airfield construction.
Perform and supervise airfield management activities, including mobile airfield management functions.
Collaborate with others to plan flight schedules and air crew assignments.
Coordinate communications between air traffic control and maintenance personnel.
Monitor the arrival, parking, refueling, loading, and departure of all aircraft.
Coordinate changes to flight itineraries with appropriate Air Traffic Control (ATC) agencies.
Anticipate aircraft equipment needs for air evacuation and cargo flights.
Receive and post weather information and flight plan data, such as air routes or arrival and departure times.
Coordinate with agencies to meet aircrew requirements for billeting, messing, refueling, ground transportation, and transient aircraft maintenance.","Active Listening
Monitoring","","","","","","High","Moderate","High","Low"
"24","Airline Pilots, Copilots, and Flight Engineers","","Have you ever dreamed of becoming a pilot, donning that iconic blue suit and round hat, with black glasses to match? I know I have! And if someone were to ask you who the first pilot in history was, you'd probably say the Wright Brothers. But, little did you know, a Muslim scholar beat them to it by a thousand years! In 852 AD, Abbas Ibn Firnas took flight using a flying machine made of feathers and two large wings. He flew for a solid ten minutes, but unfortunately, his landing was a bit rough as he forgot to include a tail on his contraption. Despite this mishap, people didn't give up on their flying dreams until the first engine-powered plane was invented in 1903, and the profession of the pilot was born.","Start engines, operate controls, and pilot airplanes to transport passengers, mail, or freight, adhering to flight plans, regulations, and procedures.
Work as part of a flight team with other crew members, especially during takeoffs and landings.
Direct activities of aircraft crews during flights.
Contact control towers for takeoff clearances, arrival instructions, and other information, using radio equipment.
Monitor gauges, warning devices, and control panels to verify aircraft performance and to regulate engine speed.
Choose routes, altitudes, and speeds that will provide the fastest, safest, and smoothest flights.
Check passenger and cargo distributions and fuel amounts to ensure that weight and balance specifications are met.
Inspect aircraft for defects and malfunctions, according to pre-flight checklists.
Confer with flight dispatchers and weather forecasters to keep abreast of flight conditions.
Instruct other pilots and student pilots in aircraft operations and the principles of flight.","Reading Comprehension
Time Management
Judgment and Decision Making
Active Listening
Critical Thinking
Monitoring
Operations Monitoring
Operation and Control","","","","","","High","Low","High","High"
"25","Ambulance Drivers and Attendants","","","Accompany and assist emergency medical technicians on calls.
Drive ambulances or assist ambulance drivers in transporting sick, injured, or convalescent persons.
Report facts concerning accidents or emergencies to hospital personnel or law enforcement officials.
Place patients on stretchers and load stretchers into ambulances, usually with assistance from other attendants.
Administer first aid, such as bandaging, splinting, or administering oxygen.
Remove and replace soiled linens or equipment to maintain sanitary conditions.
Replace supplies and disposable items on ambulances.
Perform minor maintenance on emergency medical services vehicles, such as ambulances.","","","","","","","High","Moderate","High","Moderate"
"26","Amusement and Recreation Attendants","","","Sell tickets and collect fees from customers.
Provide information about facilities, entertainment options, and rules and regulations.
Monitor activities to ensure adherence to rules and safety procedures, or arrange for the removal of unruly patrons.
Tend amusement booths in parks, carnivals, or stadiums, performing duties, such as conducting games, photographing patrons, or awarding prizes.
Verify, collect, or punch tickets before admitting patrons to venues, such as amusement parks and rides.
Direct patrons to rides, seats, or attractions.
Fasten safety devices for patrons, or provide them with directions for fastening devices.
Clean sporting equipment, vehicles, rides, booths, facilities, or grounds.
Inspect equipment to detect wear and damage and perform minor repairs, adjustments, or maintenance tasks, such as oiling parts.
Maintain inventories of equipment, storing and retrieving items and assembling and disassembling equipment as necessary.","","","","","","","High","High","Low","Low"
"27","Anesthesiologist","","","Administer anesthetic or sedation during medical procedures, using local, intravenous, spinal, or caudal methods.
Examine patient, obtain medical history, and use diagnostic tests to determine risk during surgical, obstetrical, and other medical procedures.
Position patient on operating table to maximize patient comfort and surgical accessibility.
Record type and amount of anesthesia and patient condition throughout procedure.
Provide and maintain life support and airway management and help prepare patients for emergency surgery.
Coordinate administration of anesthetics with surgeons during operation.","Speaking
Reading Comprehension
Writing
Science
Complex Problem Solving
Active Listening
Monitoring
Judgment and Decision Making
Critical Thinking","","","","","","Moderate","Moderate","High","High"
"28","Anesthesiologist Assistant","","","Provide airway management interventions including tracheal intubation, fiber optics, or ventilary support.
Respond to emergency situations by providing cardiopulmonary resuscitation (CPR), basic cardiac life support (BLS), advanced cardiac life support (ACLS), or pediatric advanced life support (PALS).
Pretest and calibrate anesthesia delivery systems and monitors.
Control anesthesia levels during procedures.
Assist anesthesiologists in monitoring of patients, including electrocardiogram (EKG), direct arterial pressure, central venous pressure, arterial blood gas, hematocrit, or routine measurement of temperature, respiration, blood pressure or heart rate.
Administer blood, blood products, or supportive fluids.
Monitor and document patients' progress during post-anesthesia period.
Administer anesthetic, adjuvant, or accessory drugs under the direction of an anesthesiologist.
Provide clinical instruction, supervision or training to staff in areas such as anesthesia practices.","Active Listening","","","","","","Moderate","High","Low","Moderate"
"29","Animal Breeders","","","Select animals to be bred, and semen specimens to be used, according to knowledge of animals, genealogies, traits, and desired offspring characteristics.
Prepare containers of semen for freezing and storage or shipment, placing them in dry ice or liquid nitrogen.
Inject prepared animal semen into female animals for breeding purposes, by inserting nozzle of syringe into vagina and depressing syringe plunger.
Feed and water animals, and clean and disinfect pens, cages, yards, and hutches.
Examine animals to detect symptoms of illness or injury.
Place vaccines in drinking water, inject vaccines, or dust air with vaccine powder to protect animals from diseases.
Brand, tattoo, or tag animals to allow animal identification.
Bathe and groom animals.
Exercise animals to keep them in healthy condition.
Arrange for sale of animals and eggs to hospitals, research centers, pet shops, and food processing plants.","","","","","","","High","Moderate","Low","Low"
